occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
Cabinetmakers and bench carpenters,42,0,41,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Cabinetmakers and bench carpenters
Furniture finishers,11,0,9,0,2,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Furniture finishers
"Model makers and patternmakers, wood",1,0,1,0,0,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Model makers and patternmakers, wood"
"Sawing machine setters, operators, and tenders, wood",31,0,30,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Sawing machine setters, operators, and tenders, wood"
"Woodworking machine setters, operators, and tenders, except sawing",17,0,15,0,2,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Woodworking machine setters, operators, and tenders, except sawing"
"Woodworkers, all other",10,0,8,0,2,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Woodworkers, all other"
"Power plant operators, distributors, and dispatchers",53,1091,52,1085,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Power plant operators, distributors, and dispatchers"
Stationary engineers and boiler operators,93,855,92,851,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Stationary engineers and boiler operators
Water and wastewater treatment plant and system operators,75,780,70,788,5,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Water and wastewater treatment plant and system operators
Miscellaneous plant and system operators,37,0,34,0,3,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Miscellaneous plant and system operators
"Chemical processing machine setters, operators, and tenders",66,853,52,947,14,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Chemical processing machine setters, operators, and tenders"
"Crushing, grinding, polishing, mixing, and blending workers",94,659,82,702,12,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Crushing, grinding, polishing, mixing, and blending workers"
Cutting workers,69,518,55,540,13,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Cutting workers
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",31,0,28,0,3,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
"Furnace, kiln, oven, drier, and kettle operators and tenders",11,0,11,0,0,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Furnace, kiln, oven, drier, and kettle operators and tenders"
"Inspectors, testers, sorters, samplers, and weighers",608,675,396,792,212,541,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Inspectors, testers, sorters, samplers, and weighers"
Jewelers and precious stone and metal workers,14,0,7,0,7,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Jewelers and precious stone and metal workers
"Medical, dental, and ophthalmic laboratory technicians",68,612,34,0,34,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Medical, dental, and ophthalmic laboratory technicians"
Packaging and filling machine operators and tenders,259,455,120,505,139,421,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Packaging and filling machine operators and tenders
Painting workers,111,602,99,608,12,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Painting workers
Photographic process workers and processing machine operators,24,0,10,0,13,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Photographic process workers and processing machine operators
Semiconductor processors,4,0,3,0,1,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Semiconductor processors
Adhesive bonding machine operators and tenders,10,0,4,0,6,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Adhesive bonding machine operators and tenders
"Cleaning, washing, and metal pickling equipment operators and tenders",13,0,9,0,3,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,"Cleaning, washing, and metal pickling equipment operators and tenders"
Cooling and freezing equipment operators and tenders,3,0,3,0,0,0,2011,Total,"Production, transportation, and material moving occupations",Production occupations,Production occupations,Cooling and freezing equipment operators and tenders
